Map,Day,Month,Year,Wait Time(s), Match Time(s),Team A Rounds,Team B Rounds,Ping,Kills,Assists,Deaths,Mvp's,HS%,Points,Result
Inferno,23,04,2021,88,2522,9,16,39,12,2,18,2,33,28,Win
Mirage,21,04,2021,24,2864,16,11,8,25,9,18,4,56,73,Win
Inferno,21,04,2021,42,2622,16,9,64,12,4,21,1,50,31,Lost
Dust II,20,04,2021,18,2348,10,16,42,14,2,18,0,42,35,Win
Mirage,20,04,2021,14,2731,15,15,60,22,0,22,4,50,51,Tie
Dust II,19,04,2021,52,1506,16,3,39,20,3,10,7,38,47,Win
Inferno,19,04,2021,38,2283,16,9,5,17,4,21,0,29,42,Lost
Inferno,18,04,2021,35,2750,10,16,5,21,5,17,2,38,58,Win
Dust II,18,04,2021,58,2553,15,15,7,20,7,21,2,60,60,Tie
Mirage,17,04,2021,31,2492,16,11,12,15,4,24,2,46,38,Lost
Dust II,17,04,2021,49,867,2,9,0,5,0,10,0,33,10,Lost
Inferno,17,04,2021,63,2462,16,8,70,11,4,19,1,72,26,Lost
Mirage,17,04,2021,77,2749,16,13,54,13,2,24,1,46,30,Win
Dust II,15,04,2021,53,2469,16,7,8,27,4,13,5,48,63,Win
Inferno,15,04,2021,54,2665,16,11,14,20,6,19,2,55,51,Lost
Mirage,15,04,2021,52,3075,13,16,31,16,5,22,5,56,43,Win
Mirage,12,04,2021,15,2689,8,16,8,23,6,17,4,29,59,Win
Dust II,12,04,2021,38,3002,16,14,6,16,3,21,1,25,44,Win
Dust II,11,04,2021,13,2609,16,12,8,25,2,19,3,68,57,Lost
Inferno,11,04,2021,30,2794,15,15,8,29,0,18,2,41,64,Tie
Dust II,10,04,2021,63,3004,16,13,10,19,2,15,5,63,49,Win
Inferno,09,04,2021,16,2596,16,10,57,20,8,17,4,50,53,Win
Inferno,09,04,2021,85,2598,16,13,56,18,7,22,3,50,49,Win
Dust II,09,04,2021,10,2370,16,10,12,18,4,15,4,55,45,Win
Mirage,07,04,2021,551,2721,13,16,59,17,3,16,2,64,43,Win
Inferno,06,04,2021,120,2810,14,16,36,22,10,22,3,40,58,Win
Mirage,06,04,2021,48,2919,16,14,39,17,8,22,1,52,44,Lost
Mirage,06,04,2021,23,2082,7,16,64,14,4,19,0,28,32,Lost
Inferno,05,04,2021,69,2443,7,16,54,20,4,18,2,40,50,Win
Mirage,05,04,2021,47,2690,16,14,38,20,3,19,2,40,47,Lost
Mirage,04,04,2021,73,1916,16,5,56,23,4,12,5,60,60,Win
Inferno,04,04,2021,47,2608,11,16,42,20,4,16,5,45,52,Win
Inferno,04,04,2021,17,2956,15,15,33,13,3,22,2,13,34,Tie
Cache,04,04,2021,45,2831,15,15,33,15,8,25,1,53,38,Tie
Mirage,04,04,2021,34,2573,16,12,55,20,4,20,3,45,46,Win
Inferno,04,04,2021,139,2643,16,12,38,28,5,21,4,35,66,Lost
Dust II,04,04,2021,31,2329,10,16,60,13,6,21,2,53,35,Win
Mirage,04,04,2021,13,1673,16,4,35,8,3,20,0,87,19,Lost
Mirage,03,04,2021,58,2674,16,14,52,21,5,22,2,38,48,Lost
Inferno,03,04,2021,56,2915,16,12,40,13,3,21,2,61,43,Lost
Mirage,03,04,2021,111,3139,16,14,38,22,2,21,3,56,54,Win
Dust II,01,04,2021,196,2664,16,14,33,22,5,21,4,34,51,Win
Mirage,01,04,2021,96,2173,16,8,56,11,4,11,1,25,33,Win
Dust II,30,03,2021,20,2473,16,9,6,19,4,15,4,68,46,Win
Mirage,30,03,2021,200,2602,9,16,9,14,5,16,4,57,44,Win
Inferno,30,03,2021,24,2995,10,16,28,23,3,17,4,45,57,Win
Inferno,30,03,2021,48,1977,16,4,35,6,2,11,3,50,18,Win
Inferno,29,03,2021,11,2127,16,5,22,3,3,13,0,66,10,Win
Inferno,29,03,2021,10,1946,16,5,7,12,4,10,2,41,38,Win
Dust II,28,03,2021,63,2167,16,8,9,21,7,22,3,47,49,Lost
Dust II,28,03,2021,72,1674,16,4,8,6,2,19,0,33,14,Lost
Inferno,28,03,2021,69,3126,13,16,14,21,4,20,5,66,49,Win
Inferno,28,03,2021,160,2672,16,11,57,11,3,23,1,54,31,Lost
Mirage,28,03,2021,29,2948,13,16,44,24,3,22,2,54,58,Lost
Mirage,27,03,2021,31,1977,16,8,27,26,4,14,4,65,57,Win
Mirage,27,03,2021,18,2464,10,16,24,20,1,18,1,65,45,Win
Inferno,27,03,2021,15,2525,16,11,22,22,6,20,4,65,55,Win
Mirage,27,03,2021,50,2986,15,15,59,16,2,20,0,56,36,Tie
Dust II,27,03,2021,85,2343,15,15,76,10,0,20,0,40,21,Tie
Mirage,26,03,2021,13,2893,16,12,63,27,7,19,3,40,68,Lost
Inferno,25,03,2021,20,2899,16,12,40,17,2,14,2,58,40,Win
Inferno,25,03,2021,37,3025,16,14,57,15,9,22,2,46,48,Win
Mirage,25,03,2021,33,1834,4,16,44,13,9,11,1,53,37,Win
Inferno,25,03,2021,14,2859,11,16,60,17,3,20,2,47,47,Lost
Mirage,25,03,2021,51,2677,16,14,62,25,3,23,3,38,56,Lost
Inferno,24,03,2021,83,3023,14,16,7,16,10,24,4,50,46,Lost
Dust II,23,03,2021,56,3008,16,12,13,16,3,20,2,43,42,Lost
Mirage,23,03,2021,20,2931,16,11,37,22,5,19,1,31,54,Win
Inferno,23,03,2021,31,2044,16,4,8,9,0,10,1,50,20,Win
Inferno,23,03,2021,30,2046,16,7,7,18,3,20,2,44,42,Lost
Inferno,22,03,2021,32,2967,16,11,10,23,7,20,4,17,56,Win
Mirage,21,03,2021,63,2275,16,8,11,23,2,19,5,43,50,Win
Inferno,21,03,2021,13,3158,15,15,7,15,11,19,4,40,55,Tie
Mirage,21,03,2021,28,2863,11,16,8,23,5,25,3,30,60,Lost
Mirage,20,03,2021,23,2639,16,13,6,19,6,23,2,47,48,Win
Mirage,19,03,2021,44,2984,16,13,21,19,4,26,3,55,44,Win
Inferno,19,03,2021,170,3199,14,16,9,23,7,24,4,47,55,Win
Inferno,19,03,2021,188,3223,15,15,61,35,6,22,6,51,82,Tie
Inferno,19,03,2021,134,1606,15,5,0,12,2,11,3,35,26,Win
Inferno,18,03,2021,18,2373,10,16,32,17,6,21,5,35,46,Win
Inferno,18,03,2021,218,800,2,8,32,8,1,6,1,50,22,Win
Dust II,18,03,2021,36,2347,16,11,39,21,7,20,2,52,54,Win
Mirage,18,03,2021,216,2896,14,16,38,23,3,20,5,47,61,Win
Mirage,17,03,2021,24,2419,15,15,11,25,5,23,4,56,63,Tie
Mirage,17,03,2021,50,1918,16,5,40,12,0,19,2,33,26,Lost
Inferno,16,03,2021,89,2876,16,12,31,18,6,23,2,44,49,Win
Inferno,16,03,2021,24,2241,16,9,11,17,2,16,2,35,37,Win
Dust II,16,03,2021,52,2866,11,16,20,23,3,20,2,58,59,Win
Inferno,16,03,2021,18,1650,16,3,6,10,2,12,0,30,25,Win
