Map,Day,Month,Year,Wait Time(s), Match Time(s),Team A Rounds,Team B Rounds,Ping,Kills,Assists,Deaths,Mvp's,HS%,Points,Result
Inferno,06,11,2020,18,2746,11,16,65,28,7,18,4,32,74,Win
Dust II,06,11,2020,53,1852,6,16,60,11,4,19,0,27,32,Lost
Mirage,06,11,2020,34,2409,16,10,89,20,5,19,3,25,55,Lost
Mirage,05,11,2020,72,2544,16,12,76,22,3,21,2,50,56,Lost
Dust II,05,11,2020,86,2432,11,16,82,12,7,23,0,16,33,Lost
Dust II,04,11,2020,11,2846,16,14,54,25,5,24,5,56,63,Win
Mirage,04,11,2020,98,1811,16,4,79,16,1,6,4,47,38,Win
Inferno,02,11,2020,71,1670,4,13,56,23,2,8,4,34,60,Win
Mirage,02,11,2020,11,2804,16,14,58,16,9,22,3,31,47,Lost
Dust II,01,11,2020,169,2624,16,13,58,16,7,22,3,43,44,Win
Inferno,01,11,2020,59,2847,16,11,52,14,6,22,0,28,41,Lost
Mirage,01,11,2020,47,2377,9,16,53,21,1,18,4,28,43,Lost
Inferno,31,10,2020,101,2298,10,16,59,17,7,16,1,23,50,Win
Dust II,31,10,2020,29,1257,10,4,58,8,2,6,2,12,20,Win
Mirage,31,10,2020,66,2278,16,9,62,24,3,20,3,41,61,Lost
Mirage,30,10,2020,14,2796,16,14,79,24,7,22,5,33,60,Lost
Inferno,30,10,2020,14,2529,9,16,54,9,4,21,2,55,25,Lost
Inferno,30,10,2020,77,1791,16,4,62,15,4,16,2,26,40,Lost
Mirage,30,10,2020,25,2142,16,8,61,17,5,11,5,11,45,Win
Dust II,29,10,2020,27,2645,12,16,56,25,6,20,6,24,64,Lost
Mirage,29,10,2020,29,2812,15,15,53,21,6,19,4,28,58,Tie
Inferno,25,10,2020,31,2201,16,9,58,21,8,19,1,19,55,Lost
Dust II,25,10,2020,27,2512,16,12,60,19,5,21,2,63,48,Lost
Mirage,25,10,2020,39,2842,15,15,58,15,9,21,1,33,50,Tie
Dust II,24,10,2020,69,2589,12,16,75,19,3,18,2,42,52,Lost
Inferno,24,10,2020,29,3135,15,15,94,27,4,19,5,22,67,Tie
Mirage,24,10,2020,12,3102,16,12,70,19,0,22,1,15,46,Lost
Inferno,23,10,2020,46,2933,16,12,62,21,3,22,4,19,50,Lost
Dust II,23,10,2020,82,1860,5,16,76,18,2,17,1,27,42,Lost
Mirage,23,10,2020,17,2950,15,15,79,24,9,25,3,41,65,Tie
Dust II,21,10,2020,21,2249,10,16,73,25,8,16,3,24,66,Win
Inferno,21,10,2020,58,2364,16,11,64,26,4,22,4,23,58,Lost
Mirage,21,10,2020,53,2786,16,12,98,21,6,25,1,19,53,Lost
Dust II,19,10,2020,20,2304,16,12,70,22,5,24,3,36,51,Lost
Mirage,19,10,2020,29,3182,14,16,66,38,8,24,4,31,89,Win
Inferno,18,10,2020,77,2735,12,16,60,27,9,19,6,11,65,Win
Mirage,18,10,2020,131,2075,16,8,65,22,5,15,5,22,51,Win
Overpass,16,10,2020,138,3299,16,14,61,28,7,23,3,35,69,Lost
Mirage,16,10,2020,74,2078,16,9,61,27,9,17,5,22,71,Win
Dust II,15,10,2020,17,2694,14,16,61,26,8,20,5,15,75,Lost
Mirage,15,10,2020,28,3118,14,16,62,35,6,21,7,22,80,Lost
Inferno,13,10,2020,28,2760,16,10,64,17,5,17,3,41,44,Win
Mirage,13,10,2020,50,2840,16,12,64,22,5,20,4,21,57,Win
Overpass,12,10,2020,47,2758,16,12,64,21,10,24,2,14,58,Lost
Dust II,12,10,2020,19,2674,15,15,60,25,6,23,3,44,66,Tie
Mirage,12,10,2020,17,2368,16,9,63,21,4,19,2,52,51,Lost
Dust II,11,10,2020,37,2489,12,16,61,29,6,17,5,41,76,Win
Inferno,11,10,2020,34,2954,15,15,90,16,6,20,3,31,48,Tie
Mirage,11,10,2020,23,1844,16,4,77,21,3,8,5,38,52,Win
Mirage,10,10,2020,99,2597,16,10,86,21,4,18,3,42,57,Win
Mirage,04,10,2020,35,2850,16,14,74,25,3,23,2,44,61,Lost
Mirage,04,10,2020,10,2389,16,8,68,23,3,15,4,17,57,Win
Dust II,03,10,2020,22,2531,11,16,102,27,10,17,6,44,72,Win
Inferno,03,10,2020,15,3415,15,15,65,25,7,23,4,44,67,Tie
Mirage,03,10,2020,51,2856,16,14,76,16,11,25,1,17,47,Lost
Inferno,02,10,2020,16,2789,10,16,71,27,5,21,2,29,65,Lost
Mirage,02,10,2020,16,1901,5,16,110,21,1,17,4,47,49,Lost
Inferno,01,10,2020,52,2922,16,11,62,20,4,21,2,25,49,Lost
Mirage,01,10,2020,60,2745,12,16,65,21,3,19,1,28,51,Win
